id_shop  id_good  amount  price 
7        100       6    133.0 
9        103       6    272.41 
8        106       9    281.11 
7        103       7    272.41 
8        103       11    272.41 
6        109       18    403.4 
9        106       18    281.11 
5        102       16    277.36 
7        104       7    110.56 
5        104       18    110.56 
9        105       5    434.29 
7        105       19    434.29 
4        106       9    281.11 
1        106       9    281.11 
5        103       19    272.41 
1        105       15    434.29 
5        105       8    434.29 
3        100       6    133.0 
5        107       15    430.95 
9        102       17    277.36 
3        102       12    277.36 
1        101       19    85.84 
6        105       9    434.29 
5        109       14    403.4 
8        104       18    110.56 
9        108       11    288.11 
9        107       17    430.95 
8        109       2    403.4 
9        109       3    403.4 
2        105       10    434.29 
4        109       11    403.4 
5        101       9    85.84 
1        108       5    288.11 
2        100       1    133.0 
2        109       15    403.4 
4        105       7    434.29 
8        100       12    133.0 
1        103       1    272.41 
1        102       12    277.36 
